event_id,source_ip,username,failed_attempts_10m,unique_usernames_10m,login_hour,geo_risk_score,ip_reputation_score,login_velocity_1h,success_ratio_1h,device_change_flag,is_anomaly,scenario
EVT-00451,10.16.100.126,user_430,0,1,14,18.67,2.28,4.98,0.706,0,0,legitimate_login_activity
EVT-02103,10.206.32.101,user_594,0,1,12,15.69,22.8,3.4,0.902,0,0,legitimate_login_activity
EVT-00708,10.243.148.155,user_742,0,2,14,15.46,1.3,2.01,0.704,0,0,legitimate_login_activity
EVT-00875,10.27.235.235,user_838,0,3,22,20.12,0.0,5.3,0.66,0,0,legitimate_login_activity
EVT-02517,10.61.226.75,user_322,26,3,4,71.82,81.83,154.92,0.153,0,1,brute_force_T1110
EVT-01537,10.222.111.24,user_494,0,1,7,23.85,28.18,13.56,0.89,0,0,legitimate_login_activity
EVT-01602,10.202.176.192,user_817,0,1,21,12.1,23.42,15.71,0.764,0,0,legitimate_login_activity
EVT-00773,10.23.111.217,user_490,0,1,16,19.73,32.62,10.31,0.801,0,0,legitimate_login_activity
EVT-00081,10.36.149.25,user_680,0,1,20,21.81,28.54,5.13,0.874,0,0,legitimate_login_activity
EVT-00600,10.48.122.133,user_272,0,1,21,14.29,17.58,12.48,0.898,0,0,legitimate_login_activity
EVT-02510,10.123.17.214,user_507,42,1,0,65.91,90.81,95.08,0.157,1,1,brute_force_T1110
EVT-02709,10.118.244.161,user_515,10,22,2,69.93,78.3,129.42,0.219,0,1,credential_stuffing_T1110
EVT-02241,10.219.81.46,user_476,0,1,7,14.38,6.93,7.97,1.0,0,0,legitimate_login_activity
EVT-02347,10.206.195.135,user_115,0,1,20,21.31,10.38,13.25,0.933,0,0,legitimate_login_activity
EVT-01118,10.239.27.186,user_505,1,2,12,15.57,16.31,10.87,0.774,0,0,legitimate_login_activity
EVT-01262,10.193.251.141,user_977,0,1,15,14.9,9.18,0.0,1.0,0,0,legitimate_login_activity
EVT-01695,10.1.111.132,user_544,1,1,21,16.16,9.82,8.01,0.706,0,0,legitimate_login_activity
EVT-01437,10.204.154.132,user_118,0,1,13,20.44,31.47,0.0,0.971,0,0,legitimate_login_activity
EVT-02544,10.222.121.222,user_948,19,1,0,61.72,60.06,106.27,0.102,1,1,brute_force_T1110
EVT-01847,10.208.252.73,user_933,0,1,18,5.98,0.0,16.52,0.683,0,0,legitimate_login_activity
EVT-00686,10.94.187.188,user_271,2,1,19,15.58,39.29,8.1,0.898,0,0,legitimate_login_activity
EVT-01362,10.201.128.161,user_106,0,1,17,17.42,7.52,11.31,0.746,0,0,legitimate_login_activity
EVT-00197,10.213.215.204,user_534,0,1,8,9.25,8.98,7.43,0.844,1,0,legitimate_login_activity
EVT-02467,10.88.115.195,user_500,28,2,4,99.26,72.23,90.3,0.021,0,1,brute_force_T1110
EVT-01353,10.216.135.53,user_556,0,1,9,36.61,27.92,5.87,0.809,0,0,legitimate_login_activity
EVT-00325,10.122.121.38,user_463,0,1,7,3.14,31.75,2.96,0.896,0,0,legitimate_login_activity
EVT-02342,10.180.32.251,user_679,1,2,7,15.85,16.12,5.03,1.0,0,0,legitimate_login_activity
EVT-00142,10.148.106.51,user_423,0,1,11,13.1,40.14,6.23,0.997,0,0,legitimate_login_activity
EVT-02245,10.149.177.84,user_770,2,1,18,21.48,22.28,7.0,0.764,0,0,legitimate_login_activity
EVT-00045,10.24.143.202,user_754,0,1,13,12.59,26.22,17.79,0.659,0,0,legitimate_login_activity
EVT-01573,10.226.252.102,user_551,2,1,8,21.24,18.39,6.67,0.998,0,0,legitimate_login_activity
EVT-02090,10.11.70.184,user_345,0,1,17,14.68,21.34,5.8,0.92,0,0,legitimate_login_activity
EVT-01607,10.136.237.138,user_636,2,1,22,16.05,14.33,11.72,0.868,0,0,legitimate_login_activity
EVT-00569,10.234.219.250,user_355,1,3,12,13.97,28.54,12.13,0.801,0,0,legitimate_login_activity
EVT-01303,10.182.247.50,user_352,1,1,8,10.79,11.99,16.65,0.952,0,0,legitimate_login_activity
EVT-02243,10.220.152.32,user_267,0,1,13,21.77,20.15,8.21,0.913,0,0,legitimate_login_activity
EVT-00566,10.174.120.38,user_740,2,1,17,20.06,0.0,0.0,0.99,0,0,legitimate_login_activity
EVT-01513,10.21.184.212,user_872,2,1,19,27.51,3.8,0.0,0.845,0,0,legitimate_login_activity
EVT-00094,10.22.71.124,user_414,0,1,13,19.3,13.22,7.72,0.834,0,0,legitimate_login_activity
EVT-01424,10.129.203.136,user_817,0,1,14,26.76,11.76,9.04,0.49,0,0,legitimate_login_activity
EVT-00963,10.237.17.38,user_400,1,1,22,13.8,20.55,2.74,0.998,0,0,legitimate_login_activity
EVT-01089,10.134.164.188,user_559,1,1,17,23.73,17.77,5.12,0.806,0,0,legitimate_login_activity
EVT-00479,10.82.26.109,user_492,0,2,15,29.29,37.1,10.82,0.878,0,0,legitimate_login_activity
EVT-00499,10.105.110.140,user_165,0,1,7,26.88,22.56,12.59,0.892,1,0,legitimate_login_activity
EVT-00765,10.60.191.182,user_147,2,1,12,7.3,12.38,0.0,0.667,1,0,legitimate_login_activity
EVT-01242,10.253.3.252,user_263,0,1,19,4.37,32.56,7.86,0.757,0,0,legitimate_login_activity
EVT-00701,10.232.170.44,user_202,0,1,22,14.89,33.8,6.66,0.838,0,0,legitimate_login_activity
EVT-01126,10.129.129.148,user_873,0,1,13,17.6,16.69,16.77,0.884,1,0,legitimate_login_activity
EVT-00645,10.212.243.38,user_257,2,1,15,14.47,17.35,0.0,1.0,0,0,legitimate_login_activity
EVT-02287,10.109.209.185,user_428,1,1,15,13.7,37.31,4.78,0.888,0,0,legitimate_login_activity
EVT-01710,10.132.172.154,user_574,0,1,12,15.03,33.95,19.9,0.982,0,0,legitimate_login_activity
EVT-02179,10.249.194.88,user_795,1,1,11,17.86,24.12,7.79,0.921,0,0,legitimate_login_activity
EVT-02662,10.117.214.92,user_219,13,12,5,74.0,81.19,84.23,0.163,0,1,credential_stuffing_T1110
EVT-00694,10.32.211.24,user_288,0,1,20,15.64,15.11,11.65,0.824,0,0,legitimate_login_activity
EVT-02064,10.119.230.13,user_502,0,2,11,17.28,0.0,0.0,1.0,0,0,legitimate_login_activity
EVT-00394,10.7.155.236,user_683,0,1,7,20.78,5.15,10.04,0.915,0,0,legitimate_login_activity
EVT-02627,10.109.131.230,user_833,16,25,22,78.82,72.69,172.88,0.141,1,1,credential_stuffing_T1110
EVT-01377,10.140.108.3,user_620,1,1,11,16.87,12.87,10.25,0.681,0,0,legitimate_login_activity
EVT-00319,10.200.156.102,user_312,0,1,18,23.35,22.86,9.86,0.854,0,0,legitimate_login_activity
EVT-00480,10.166.82.243,user_354,1,3,22,29.83,26.33,10.32,0.896,0,0,legitimate_login_activity
EVT-02693,10.75.46.101,user_743,11,22,22,64.95,90.37,109.83,0.327,1,1,credential_stuffing_T1110
EVT-02511,10.42.241.237,user_287,43,4,3,74.47,98.95,81.86,0.071,1,1,brute_force_T1110
EVT-02413,10.24.148.109,user_224,19,1,3,67.67,93.59,115.39,0.078,1,1,brute_force_T1110
EVT-00582,10.6.54.249,user_228,0,1,16,5.71,29.71,7.81,0.759,0,0,legitimate_login_activity
EVT-01180,10.34.135.211,user_543,0,1,10,30.11,14.93,6.52,0.909,0,0,legitimate_login_activity
EVT-02124,10.15.252.21,user_923,0,1,18,21.71,21.44,8.16,0.91,0,0,legitimate_login_activity
EVT-00071,10.67.183.201,user_373,0,2,12,13.36,11.8,17.87,0.816,0,0,legitimate_login_activity
EVT-01217,10.254.188.31,user_583,0,2,22,16.89,29.17,8.46,0.892,1,0,legitimate_login_activity
EVT-02131,10.194.99.66,user_193,0,1,22,28.81,11.13,0.0,0.719,0,0,legitimate_login_activity
EVT-00913,10.146.48.126,user_266,3,2,17,18.13,18.9,4.01,0.858,0,0,legitimate_login_activity
EVT-01673,10.15.136.199,user_823,3,1,10,19.03,11.15,15.07,0.924,0,0,legitimate_login_activity
EVT-00057,10.85.6.27,user_922,0,1,11,25.79,26.77,2.32,0.801,0,0,legitimate_login_activity
EVT-01514,10.221.152.160,user_956,0,1,14,17.55,26.9,10.22,0.765,0,0,legitimate_login_activity
EVT-00846,10.249.83.127,user_383,0,1,11,18.75,35.73,10.02,0.991,0,0,legitimate_login_activity
EVT-00355,10.37.180.192,user_655,0,1,10,23.67,9.72,4.65,0.857,0,0,legitimate_login_activity
EVT-01326,10.177.164.251,user_354,0,2,8,30.33,25.27,3.51,0.978,0,0,legitimate_login_activity
EVT-01208,10.57.84.113,user_652,1,1,14,8.43,18.92,12.2,1.0,0,0,legitimate_login_activity
EVT-00212,10.97.47.175,user_237,0,1,9,18.92,25.73,1.25,0.875,0,0,legitimate_login_activity
EVT-02004,10.22.101.197,user_929,0,1,19,34.24,14.55,12.41,0.99,0,0,legitimate_login_activity
EVT-02079,10.194.172.207,user_980,0,1,21,24.86,16.08,7.25,0.865,0,0,legitimate_login_activity
EVT-01588,10.216.25.61,user_687,0,1,16,22.67,27.1,15.84,1.0,0,0,legitimate_login_activity
EVT-01282,10.77.234.122,user_803,0,1,11,0.43,11.63,0.0,0.945,0,0,legitimate_login_activity
EVT-02636,10.43.157.2,user_313,23,24,4,61.92,80.13,112.49,0.094,0,1,credential_stuffing_T1110
EVT-00533,10.168.185.215,user_349,0,1,16,14.61,23.2,10.9,0.946,1,0,legitimate_login_activity
EVT-00125,10.105.95.226,user_528,0,1,16,16.0,14.09,0.0,0.82,0,0,legitimate_login_activity
EVT-01739,10.205.60.200,user_905,0,1,18,15.12,31.65,4.6,0.979,0,0,legitimate_login_activity
EVT-01451,10.155.144.141,user_900,1,1,15,15.52,34.68,12.44,0.885,0,0,legitimate_login_activity
EVT-01951,10.43.150.65,user_856,0,1,15,25.19,29.32,23.79,0.84,0,0,legitimate_login_activity
EVT-02343,10.63.247.114,user_333,1,1,14,13.2,18.89,4.82,0.974,0,0,legitimate_login_activity
EVT-02197,10.61.124.3,user_313,1,1,13,17.04,18.96,13.25,0.708,0,0,legitimate_login_activity
EVT-00618,10.65.116.41,user_591,2,1,12,20.06,20.41,16.82,1.0,0,0,legitimate_login_activity
EVT-01345,10.69.72.109,user_214,0,1,20,11.22,21.39,1.59,0.806,0,0,legitimate_login_activity
EVT-01507,10.181.109.252,user_626,0,1,20,25.46,19.04,6.99,1.0,0,0,legitimate_login_activity
EVT-01107,10.65.9.22,user_524,0,1,9,18.34,36.38,5.16,0.727,0,0,legitimate_login_activity
EVT-01111,10.157.217.64,user_148,2,2,8,9.73,20.49,15.74,0.853,0,0,legitimate_login_activity
EVT-00555,10.48.141.134,user_239,2,1,17,22.68,18.62,7.44,0.875,0,0,legitimate_login_activity
EVT-01608,10.174.231.248,user_345,0,1,16,12.14,38.71,10.77,0.798,0,0,legitimate_login_activity
EVT-01125,10.79.128.171,user_573,0,2,12,16.91,10.52,12.36,1.0,0,0,legitimate_login_activity
EVT-00434,10.8.193.102,user_484,0,1,7,10.29,12.8,13.55,0.944,0,0,legitimate_login_activity
EVT-00529,10.162.81.210,user_298,0,1,18,20.75,11.7,16.75,0.857,0,0,legitimate_login_activity
EVT-01627,10.171.193.97,user_303,0,1,17,13.64,23.23,9.19,0.846,0,0,legitimate_login_activity
EVT-00565,10.167.101.41,user_520,1,1,22,12.55,7.49,6.78,0.937,0,0,legitimate_login_activity
EVT-01406,10.253.125.87,user_996,0,1,16,6.1,31.51,2.53,0.864,0,0,legitimate_login_activity
EVT-00606,10.29.60.65,user_733,1,1,18,19.05,15.67,2.39,0.903,0,0,legitimate_login_activity
EVT-02699,10.108.203.134,user_713,14,19,3,72.52,66.23,132.27,0.158,1,1,credential_stuffing_T1110
EVT-02409,10.71.149.157,user_440,44,1,1,79.61,72.04,118.75,0.169,0,1,brute_force_T1110
EVT-02381,10.46.194.254,user_508,0,1,7,7.62,32.23,0.0,0.742,0,0,legitimate_login_activity
EVT-01392,10.91.102.89,user_462,0,1,17,22.19,15.12,14.9,0.911,0,0,legitimate_login_activity
EVT-00416,10.251.219.119,user_665,0,1,7,24.82,20.95,8.35,0.94,0,0,legitimate_login_activity
EVT-01548,10.9.243.18,user_248,1,2,10,18.71,10.35,7.53,0.957,0,0,legitimate_login_activity
EVT-00322,10.56.242.150,user_988,0,1,21,7.5,13.81,4.13,0.875,0,0,legitimate_login_activity
EVT-00933,10.222.145.180,user_690,0,1,8,20.96,16.97,6.26,0.943,0,0,legitimate_login_activity
EVT-00519,10.117.42.228,user_490,0,1,9,34.83,18.24,5.62,0.787,0,0,legitimate_login_activity
EVT-02260,10.112.37.69,user_468,0,3,21,10.24,24.26,12.48,0.753,0,0,legitimate_login_activity
EVT-00046,10.78.154.8,user_505,0,3,22,11.64,30.84,5.3,0.793,0,0,legitimate_login_activity
EVT-02524,10.76.227.234,user_582,23,2,4,47.56,84.07,120.5,0.206,0,1,brute_force_T1110
EVT-00283,10.40.14.209,user_516,0,1,14,10.61,28.48,15.51,0.752,0,0,legitimate_login_activity
EVT-01730,10.32.208.76,user_257,0,1,11,32.85,9.8,4.07,0.95,0,0,legitimate_login_activity
EVT-00799,10.121.167.241,user_218,0,1,12,22.3,19.83,6.68,0.876,0,0,legitimate_login_activity
EVT-01458,10.44.58.208,user_855,0,1,12,25.72,26.91,6.89,0.887,0,0,legitimate_login_activity
EVT-02466,10.187.150.151,user_902,49,4,4,69.15,95.41,48.24,0.051,0,1,brute_force_T1110
EVT-00064,10.77.174.161,user_967,1,1,22,15.42,24.75,3.04,1.0,0,0,legitimate_login_activity
EVT-01749,10.90.58.149,user_942,1,1,11,18.49,30.44,12.43,0.795,0,0,legitimate_login_activity
EVT-01558,10.176.54.221,user_905,2,1,15,18.08,16.14,5.93,0.76,0,0,legitimate_login_activity
EVT-02579,10.246.30.65,user_535,28,3,0,64.57,78.89,81.08,0.137,1,1,brute_force_T1110
EVT-01843,10.150.81.7,user_588,0,1,17,11.83,32.41,5.54,0.65,0,0,legitimate_login_activity
EVT-01943,10.39.172.31,user_177,0,1,15,21.96,15.4,17.08,0.789,0,0,legitimate_login_activity
EVT-00762,10.201.174.212,user_178,0,1,11,22.01,12.87,9.59,0.762,0,0,legitimate_login_activity
EVT-00486,10.17.251.116,user_686,0,2,9,29.46,2.59,12.21,0.81,0,0,legitimate_login_activity
EVT-00860,10.115.247.145,user_913,1,2,17,18.67,28.44,5.78,0.791,0,0,legitimate_login_activity
EVT-02252,10.3.168.233,user_402,0,1,22,28.72,33.71,11.41,0.949,0,0,legitimate_login_activity
EVT-01100,10.231.137.204,user_473,0,1,17,15.16,23.67,7.99,0.917,0,0,legitimate_login_activity
EVT-02108,10.250.31.245,user_211,1,2,9,10.16,26.77,6.27,0.837,0,0,legitimate_login_activity
EVT-00977,10.48.166.45,user_237,1,1,18,28.06,23.0,3.78,0.783,0,0,legitimate_login_activity
EVT-01310,10.40.169.188,user_860,0,2,18,19.64,11.76,16.06,0.794,1,0,legitimate_login_activity
EVT-01026,10.190.28.208,user_792,0,1,12,19.63,0.47,6.25,1.0,0,0,legitimate_login_activity
EVT-00991,10.156.13.152,user_280,1,1,11,32.6,23.88,13.53,0.839,0,0,legitimate_login_activity
EVT-00433,10.67.173.135,user_990,0,2,10,16.55,23.81,13.13,0.766,0,0,legitimate_login_activity
EVT-00507,10.126.118.220,user_860,3,1,19,19.04,14.53,11.32,0.918,0,0,legitimate_login_activity
EVT-02673,10.2.82.174,user_356,19,8,2,65.35,87.86,104.59,0.141,1,1,credential_stuffing_T1110
EVT-02100,10.219.76.47,user_516,2,1,10,19.01,18.69,8.29,0.999,1,0,legitimate_login_activity
EVT-00652,10.119.247.102,user_603,0,2,22,14.57,31.01,14.95,0.682,0,0,legitimate_login_activity
